"date_sample","sample_source","sample_id","analyte","value_qualifier","analyte_value","value_units","source_description"
"2019-08-20","OT COMB FILTER","W1321569","Total THMs","","12.6","UG/L","OT FP Filter Combined Filter Effluent"
"2019-08-20","OT FILTER 1-8","W1321567","pH","","7.64","PH","OT FP Filters 1-8"
"2019-08-20","OT FILTER 1-8","W1321567","Total THMs","","12.1","UG/L","OT FP Filters 1-8"
"2019-08-20","OT FILTER 9-16","W1321568","pH","","7.62","PH","OT FP Filters  9-16"
"2019-08-20","OT FILTER 9-16","W1321568","Total THMs","","12.4","UG/L","OT FP Filters  9-16"
"2019-08-20","OT SETTLED","W1321566","pH","","7.72","PH","OT FP Settled"
"2019-08-20","OT SETTLED","W1321566","Total THMs","","15.2","UG/L","OT FP Settled"
"2019-08-21","119 SYS","W1321622","pH","","8.205","PH","Lower Otay Recreation"
"2019-08-21","215 SYS","W1321588","Fluoride","","0.429","MG/L","Across from 5105 Soledad Rd."
"2019-08-22","251 SYS","W1321650","Fluoride","","0.436","MG/L","5840 Ravenswood Rd."
"2019-08-23","171 SYS","W1321701","Fluoride","","0.363","MG/L","6541 Broadway"
"2019-08-24","208A SYS","W1316916","Fluoride","","0.3829999999999999","MG/L","Across from 6236 Wenrich"
"2019-08-25","50A SYS","W1316921","Fluoride","","0.4539999999999999","MG/L","2693 Melbourne Dr."
"2019-08-26","206 SYS","W1323341","Fluoride","","0.509","MG/L","1055 Catalina Blvd @ Fire Station Sample Stanchion"
"2019-08-27","229 SYS","W1323038","Fluoride","","0.152","MG/L","Carmel Park Dr/Del Mar Glen @ Public School"
"2019-08-27","OT COMB FILTER","W1323171","pH","","7.43","PH","OT FP Filter Combined Filter Effluent"
"2019-08-27","OT COMB FILTER","W1323171","Total THMs","","12.4","UG/L","OT FP Filter Combined Filter Effluent"
"2019-08-27","OT FILTER 1-8","W1323169","pH","","7.33","PH","OT FP Filters 1-8"
"2019-08-27","OT FILTER 1-8","W1323169","Total THMs","","12.1","UG/L","OT FP Filters 1-8"
"2019-08-27","OT FILTER 9-16","W1323170","pH","","7.37","PH","OT FP Filters  9-16"
"2019-08-27","OT FILTER 9-16","W1323170","Total THMs","","12.3","UG/L","OT FP Filters  9-16"
"2019-08-27","OT SETTLED","W1323168","pH","","7.74","PH","OT FP Settled"
"2019-08-27","OT SETTLED","W1323168","Total THMs","","13.7","UG/L","OT FP Settled"
"2019-08-28","119 SYS","W1323375","pH","","8.05","PH","Lower Otay Recreation"
"2019-08-28","304 SYS","W1322937","Fluoride","","0.183","MG/L","14462 Garden Trail"
"2019-08-29","277A SYS","W1323380","Fluoride","","0.149","MG/L"," 12241 Camino Del Sur"
"2019-08-30","205 SYS","W1323457","Fluoride","","0.595","MG/L","close to 1856 Manzana Way; Sample Stanchion"
